,ROI,Behavior,Corr,p-value,nsamples,adjusted-p
609,Parietal_Sup_R,CBCL-social_prob_score,0.31761839771868183,0.11358864113588642,15,0.7036464495143406
1378,Frontal_Mid_Orb_R,CBCL-sluggish_cogn_tempo_score,0.317064676301063,0.048995100489951,15,0.5828925304190892
1355,Occipital_Inf_R,"VSA DAS_SA,word_defn_ABILITY_SCORE",-0.316453160034062,0.15078492150784922,12,0.756626846275946
1205,Frontal_Inf_Oper_R,CBCL-som_comp_score,-0.3162609814747329,0.36776322367763226,15,0.8764340957208628
197,Frontal_Sup_Orb_L,"VSA DAS_SA,rd_ABILITY_SCORE",-0.31543875658247833,0.3451654834516548,12,0.8764340957208628
563,Parietal_Sup_L,CBCL-attention_hyper_prob_score,-0.31538500470204,0.33096690330966905,15,0.8764340957208628
1398,Frontal_Mid_Orb_R,Vineland-receptive_RAW_SCORE,0.3146264273608557,0.38336166383361664,15,0.8871178997802699
1337,Occipital_Inf_R,CBCL-depressive_prob_score,0.3144836594056793,0.09399060093990601,15,0.6906856484162904
534,Parietal_Inf_L,CBCL-internalizing_score,0.3133033812950774,0.048995100489951,15,0.5828925304190892
111,Frontal_Sup_Medial_L,CBCL-depressed_score,0.312871983767575,0.059994000599940006,15,0.6230362879205037
367,Occipital_Mid_L,CBCL-stress_prob_score,0.3127577457170147,0.2997700229977002,15,0.8754957837549578
213,Temporal_Pole_Mid_R,CBCL-attention_hyper_prob_score,-0.31238133799059203,0.32656734326567344,15,0.8764340957208628
1351,Occipital_Inf_R,"VSA DAS_SA,matrices_ABILITY_SCORE",-0.31205254133440274,0.3147685231476852,15,0.8764340957208628
1164,Frontal_Inf_Oper_L,CBCL-internalizing_score,0.3103336809984416,0.2765723427657234,15,0.8700475243955426
259,Frontal_Sup_R,CBCL-social_prob_score,0.31009189540307325,0.11558844115588442,15,0.7066542254071536
1224,Frontal_Inf_Oper_R,Vineland-written_RAW_SCORE,-0.3090508562952616,0.35176482351764826,15,0.8764340957208628
